rank,artifact_type,name,integration_score,primary_object,trigger_events,has_callout,has_rest_resource,has_invocable,async_patterns,soql_count,dml_keyword_count,touchpoint_count,summary,path
1,Class,CalloutHelper,151,,,Y,N,Y,,0,0,2,"CalloutHelper: Flow invocable, HTTP/callout logic",config\apex-metadata-custom\classes\CalloutHelper.cls
2,Class,VantageApiInvoiceQuery,121,,,Y,N,Y,,0,0,2,"VantageApiInvoiceQuery: Flow invocable, HTTP/callout logic",config\apex-metadata-custom\classes\VantageApiInvoiceQuery.cls
3,Class,VantageApiInvoiceLinesQuery,121,,,Y,N,Y,,0,0,2,"VantageApiInvoiceLinesQuery: Flow invocable, HTTP/callout logic",config\apex-metadata-custom\classes\VantageApiInvoiceLinesQuery.cls
4,Trigger,OppSyncTrigger,111,Opportunity,after update,N,N,N,,4,5,1,Trigger on Opportunity (after update),config\apex-metadata-custom\triggers\OppSyncTrigger.trigger
5,Trigger,OppLineSyncTrigger,107,OpportunityLineItem,"before insert,after insert,after update",N,N,N,,3,9,1,"Trigger on OpportunityLineItem (before insert,after insert,after update)",config\apex-metadata-custom\triggers\OppLineSyncTrigger.trigger
6,Class,TPSChecker,100,,,Y,N,N,Database.Batchable,1,1,2,"TPSChecker: HTTP/callout logic, async=Database.Batchable",config\apex-metadata-custom\classes\TPSChecker.cls
7,Class,TPSCallout,100,,,Y,N,N,Database.Batchable,1,1,2,"TPSCallout: HTTP/callout logic, async=Database.Batchable",config\apex-metadata-custom\classes\TPSCallout.cls
8,Trigger,dlrs_OpportunityTrigger,99,Opportunity,"before delete,before insert,before update,after delete,after insert,after undelete,after update",N,N,N,,0,7,0,"Trigger on Opportunity (before delete,before insert,before update,after delete,after insert,after undelete,after update)",config\apex-metadata-custom\triggers\dlrs_OpportunityTrigger.trigger
9,Class,PortalCertiniaReceiptApi,98,,,N,Y,N,,0,0,1,PortalCertiniaReceiptApi: REST endpoint,config\apex-metadata-custom\classes\PortalCertiniaReceiptApi.cls
10,Class,HP_API_AccountService,98,,,Y,N,N,,1,0,2,HP_API_AccountService: HTTP/callout logic,config\apex-metadata-custom\classes\HP_API_AccountService.cls
11,Class,HPAuthService,92,,,Y,N,N,,1,1,1,HPAuthService: HTTP/callout logic,config\apex-metadata-custom\classes\HPAuthService.cls
12,Trigger,dlrs_OpportunityLineItemTrigger,89,OpportunityLineItem,"before delete,before insert,before update,after delete,after insert,after undelete,after update",N,N,N,,0,7,0,"Trigger on OpportunityLineItem (before delete,before insert,before update,after delete,after insert,after undelete,after update)",config\apex-metadata-custom\triggers\dlrs_OpportunityLineItemTrigger.trigger
13,Trigger,dlrs_AccountTrigger,84,Account,"before delete,before insert,before update,after delete,after insert,after undelete,after update",N,N,N,,0,7,0,"Trigger on Account (before delete,before insert,before update,after delete,after insert,after undelete,after update)",config\apex-metadata-custom\triggers\dlrs_AccountTrigger.trigger
14,Trigger,QuoteLineSyncTrigger,84,QuoteLineItem,"before insert,after insert,after update",N,N,N,,3,10,1,"Trigger on QuoteLineItem (before insert,after insert,after update)",config\apex-metadata-custom\triggers\QuoteLineSyncTrigger.trigger
