flow_developer_name,flow_id,version_number,process_type,touchpoint_type,touchpoint_name,touchpoint_detail,external_candidate
Agilyx_Payable_Invoice_on_Hold_Release,3018e0000008dZJAAY,1,AutoLaunchedFlow,Action:apex,AgxPayableInvoiceHold,AgxPayableInvoiceHold [Place Payable Invoice on Hold],True
Agilyx_Purchase_Order_Trigger_to_Release_Payable_Invoice,3018e0000008dZKAAY,1,AutoLaunchedFlow,Action:apex,AgxPayableInvoiceRelease,AgxPayableInvoiceRelease [Payable Invoice Release],True
All_Companies_House_Check,301Px00000AMhrmIAD,3,Flow,Action:apex,comp_house__CompanyHouse_CompanyProfile,comp_house__CompanyHouse_CompanyProfile [Company House Profile Search],True
All_Companies_House_Check,301Px00000AMhrmIAD,3,Flow,Action:apex,comp_house__CompanyHouse_CompanySearch,comp_house__CompanyHouse_CompanySearch [Company Search Results],True
Analysis_Synchronisation_Dimension_1,3014K000000UyWqQAK,1,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [ERP Synch],True
Analysis_Synchronisation_Dimension_2,3014K000000UyWrQAK,1,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [ERP Synch],True
Analysis_Synchronisation_Dimension_3,3014K000000UyWsQAK,1,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [ERP Synch],True
Analysis_Synchronisation_Dimension_4,3014K000000UyWtQAK,1,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [ERP Synch],True
Call_Foundations_Billing_PB,3014K000000545EQAQ,1,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [Bill to FFA],True
Compliance_Approval_Flow,301Ae00000qk42qIAA,19,AutoLaunchedFlow,Action:apex,ResolveApprovalRequest,ResolveApprovalRequest [Approve Opp],True
Compliance_Approval_Flow,301Ae00000qk42qIAA,19,AutoLaunchedFlow,Action:apex,ResolveApprovalRequest,ResolveApprovalRequest [Copy 1 of Approve Opp],True
Create_Commission_Opp_Split,301Px00000TxuTuIAJ,6,AutoLaunchedFlow,Action:apex,GenericObjectOperationBatchLauncher,GenericObjectOperationBatchLauncher [Create Commission],True
Demo_Run_Decision_Action,301Ae00000lKiDrIAK,2,Flow,Action:apex,CS_APP__InvocableGetDecisionTreesService,CS_APP__InvocableGetDecisionTreesService [Get All Decision Trees],True
Demo_Run_Decision_Action,301Ae00000lKiDrIAK,2,Flow,Action:apex,CS_APP__InvocableDecisionActionService,CS_APP__InvocableDecisionActionService [Run Decision Action Action 1],True
Discard_Documents,3018e0000008kUHAAY,1,Flow,Action:apex,DiscardInvoices,DiscardInvoices [Discard Documents],True
FFX_SM_Product_Product_Group_PB,3014K000000545GQAQ,2,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [Create OPI Product Group],True
FFX_SM_Product_Product_Group_PB,3014K000000545GQAQ,2,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [CreateItem],True
FFX_SM_Product_Product_Group_PB,3014K000000545GQAQ,2,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [Update Product Group],True
FFX_SM_Product_Product_Group_PB,3014K000000545GQAQ,2,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [Update Accounting Item],True
FFXSCM_Process_Invoice_Lines,301Px00000SoMlBIAV,4,AutoLaunchedFlow,Action:apex,GenericObjectOperationBatchLauncher,GenericObjectOperationBatchLauncher [Create Inv Trans Fin],True
ION_CreateSalesOrder_PB,3014K000000hBfHQAU,1,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [CreateSO],True
ION_CreateSalesOrder_PB_2,301Px00000Q4otpIAB,5,AutoLaunchedFlow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [CreateSO],True
Opportunity_Compliance_Calculation,301Px00000PtHTLIA3,5,AutoLaunchedFlow,Action:apex,BusinessHoursCalculator,BusinessHoursCalculator [Calculate Business Hours],True
Parent_MACD_Add,301Px00000TqXaMIAV,6,Flow,Action:apex,GenericObjectOperationBatchLauncher,GenericObjectOperationBatchLauncher [Create Child Opp Lines],True
Reject_Opp,3018e0000008d1RAAQ,2,AutoLaunchedFlow,Action:apex,ResolveApprovalRequest,ResolveApprovalRequest [Approve Opp],True
Reject_Opp,3018e0000008d1RAAQ,2,AutoLaunchedFlow,Action:apex,ResolveApprovalRequest,ResolveApprovalRequest [Copy 1 of Approve Opp],True
SM_Account_Supplier_Site_PB,301Ae00000nXACUIA4,4,AutoLaunchedFlow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [Update Supplier Site],True
SM_Account_Supplier_Site_PB,301Ae00000nXACUIA4,4,AutoLaunchedFlow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [Update Vendor Contact],True
Tax_Code,3014K000000UyXJQA0,1,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [ERP Sych],True
Tax_Rate_Synchronisation,3014K000000UyXKQA0,1,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [ERP Synch],True
Technical_Evaluation,301Px00000MeDUvIAN,11,Flow,Action:apex,ResolveApprovalRequest,ResolveApprovalRequest [Recall Approval Action],True
UpdateCompanyTaxInformation,3014K000000UyXLQA0,1,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [ERP Integration],True
Vantage_Invoices,301Px000005eBLHIA2,4,AutoLaunchedFlow,Action:apex,VantageApiInvoiceLinesQuery,VantageApiInvoiceLinesQuery [Invoice Lines],True
Vantage_Invoices,301Px000005eBLHIA2,4,AutoLaunchedFlow,Action:apex,CalloutHelper,CalloutHelper [Vantage Authorisation],True
Vantage_Invoices,301Px000005eBLHIA2,4,AutoLaunchedFlow,Action:apex,VantageApiInvoiceQuery,VantageApiInvoiceQuery [Vantage Invoices],True
