flow_developer_name,flow_id,version_number,process_type,trigger_object,trigger_type,entry_criteria_present,entry_criteria_summary,action_call_count,apex_plugin_call_count,subflow_count,touchpoint_count,external_candidate_touchpoint_count
Account_Approval_Submission,301Ae00000nRkiDIAS,2,AutoLaunchedFlow,Account,RecordAfterSave,Y,$Record.RecordType.Name EqualTo Supplier; $Record.Type EqualTo Vendor; $Record.RecordType.Name EqualTo Customer,2,0,0,2,0
Account_Asset_Disposals,301Px00000Tg3PAIAZ,16,Flow,,,Y,collectionPrintCount GreaterThan 0; collectionDWCount GreaterThan 0; collectionPrintCount GreaterThan 0,0,0,0,0,0
Account_Asset_Moves,301Px00000PpZyKIAV,3,Flow,,,Y,locationId EqualTo,0,0,0,0,0
Account_Check_Schedule,301Px00000IxZIkIAN,4,AutoLaunchedFlow,Account,Scheduled,Y,logic=and; Record_Type__c EqualTo Customer,0,0,1,1,0
Account_Level_Add_MACD,301Px00000FYopnIAD,4,Flow,,,N,,0,0,1,1,0
Add_Account_Team_Member_to_Account,301Px00000PNA0OIAX,1,AutoLaunchedFlow,AccountTeamMember,RecordAfterSave,Y,Get_The_Account.Account_Team_Names__c Contains $Record.User.Alias,0,0,0,0,0
Add_files_to_SOs,301Ae00000lU0ndIAC,16,AutoLaunchedFlow,SCMC__Sales_Order__c,RecordAfterSave,Y,logic=and; link_Opp2SO_Id__c IsNull False,0,0,0,0,0
Add_Related_Invoice,301Px00000Kio4FIAR,10,AutoLaunchedFlow,SCMC__Sales_Order__c,RecordAfterSave,Y,Loop_Invoices_0.SCMFFA__Sales_Invoice__c IsNull False,0,0,0,0,0
Add_Sales_Invoice_Number,3018e0000004G5eAAE,2,AutoLaunchedFlow,Opportunity,RecordBeforeSave,Y,logic=and; FFX_SalesInvoice__c IsNull False,0,0,0,0,0
Address_Automation,3018e000000PFPQAA4,2,AutoLaunchedFlow,Account,RecordBeforeSave,Y,$Record.ParentId IsNull False; $Record.BillingCity IsNull True; $Record.ShippingCity IsNull False; $Record.BillingCity IsNull True,0,0,0,0,0
Agilyx_AP_Voucher_to_Payable_Invoice,3018e0000008dZHAAY,1,Flow,,,Y,Loop_AP_Voucher_Lines_Collection.RecordType.DeveloperName EqualTo Item; Loop_AP_Voucher_Lines_Collection.SCMC__Purchase_Order_Line_Item__c IsNull False; Loop_AP_Voucher_Lines_Collection.SCMC__Purchase_Order_Line_Item__r.SCMFFA__General_Ledger_Account__c IsNull False; Loop_AP_Voucher_Lines_Collection.SCMC__Purchase_Order_Line_Item__r.RecordType.DeveloperName EqualTo Description; Loop_AP_Voucher_Lines_Collection.RecordType.DeveloperName EqualTo Item; Loop_AP_Voucher_Lines_Collection.SCMC__Purchase_Order_Line_Item__r.RecordType.DeveloperName EqualTo Item; Loop_AP_Voucher_Lines_Collection.SCMC__Purchase_Order_Line_Item__r.SCMC__Item_Master__c IsNull False; Loop_AP_Voucher_Lines_Collection.SCMC__Purchase_Order_Line_Item__c IsNull False,0,0,0,0,0
Agilyx_Overdue_Transactions_Test,301Px00000TFz0xIAD,22,Flow,,,Y,recordId StartsWith a5e,0,0,1,1,0
Agilyx_Payable_Invoice_on_Hold_Release,3018e0000008dZJAAY,1,AutoLaunchedFlow,c2g__codaPurchaseInvoice__c,RecordAfterSave,Y,logic=and; SCMFFA__AP_Voucher__c IsNull False; c2g__InvoiceStatus__c EqualTo Complete; Agx_Partial_PO_with_Full_Invoice__c EqualTo True,1,0,0,1,1
Agilyx_Purchase_Order_Trigger_to_Release_Payable_Invoice,3018e0000008dZKAAY,1,AutoLaunchedFlow,SCMC__Purchase_Order__c,RecordAfterSave,Y,logic=and; SCMC__Status__c EqualTo Closed,1,0,0,1,1
AGILYX_Set_Task_Collections_Info_to_TLI_Autolaunched,301Px000006cyhHIAQ,7,AutoLaunchedFlow,Task,,Y,transactionMultipleUpdate Contains Loop_Filter,0,0,0,0,0
