flow_developer_name,flow_id,version_number,process_type,touchpoint_type,touchpoint_name,touchpoint_detail,external_candidate
Account_Approval_Submission,301Ae00000nRkiDIAS,2,AutoLaunchedFlow,Action:submit,submit,submit [Submit for Customer Account Approval],False
Account_Approval_Submission,301Ae00000nRkiDIAS,2,AutoLaunchedFlow,Action:submit,submit,submit [Submit for Supplier Account Approval],False
Account_Check_Schedule,301Px00000IxZIkIAN,4,AutoLaunchedFlow,Subflow,Customer_Account_Check,Customer_Account_Check,False
Account_Level_Add_MACD,301Px00000FYopnIAD,4,Flow,Subflow,Opportunity_Add_Asset_v2,Opportunity_Add_Asset_v2,False
Agilyx_Overdue_Transactions_Test,301Px00000TFz0xIAD,22,Flow,Subflow,AGILYX_Set_Task_Collections_Info_to_TLI_Autolaunched,AGILYX_Set_Task_Collections_Info_to_TLI_Autolaunched,False
Agilyx_Payable_Invoice_on_Hold_Release,3018e0000008dZJAAY,1,AutoLaunchedFlow,Action:apex,AgxPayableInvoiceHold,AgxPayableInvoiceHold [Place Payable Invoice on Hold],True
Agilyx_Purchase_Order_Trigger_to_Release_Payable_Invoice,3018e0000008dZKAAY,1,AutoLaunchedFlow,Action:apex,AgxPayableInvoiceRelease,AgxPayableInvoiceRelease [Payable Invoice Release],True
All_Companies_House_Check,301Px00000AMhrmIAD,3,Flow,Action:apex,comp_house__CompanyHouse_CompanyProfile,comp_house__CompanyHouse_CompanyProfile [Company House Profile Search],True
All_Companies_House_Check,301Px00000AMhrmIAD,3,Flow,Action:apex,comp_house__CompanyHouse_CompanySearch,comp_house__CompanyHouse_CompanySearch [Company Search Results],True
Analysis_Synchronisation_Dimension_1,3014K000000UyWqQAK,1,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [ERP Synch],True
Analysis_Synchronisation_Dimension_2,3014K000000UyWrQAK,1,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [ERP Synch],True
Analysis_Synchronisation_Dimension_3,3014K000000UyWsQAK,1,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [ERP Synch],True
Analysis_Synchronisation_Dimension_4,3014K000000UyWtQAK,1,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [ERP Synch],True
Call_Foundations_Billing_PB,3014K000000545EQAQ,1,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [Bill to FFA],True
Compliance_Approval_Flow,301Ae00000qk42qIAA,19,AutoLaunchedFlow,Action:apex,ResolveApprovalRequest,ResolveApprovalRequest [Approve Opp],True
Compliance_Approval_Flow,301Ae00000qk42qIAA,19,AutoLaunchedFlow,Action:apex,ResolveApprovalRequest,ResolveApprovalRequest [Copy 1 of Approve Opp],True
