rank,flow_developer_name,score,process_type,version_number,trigger_object,trigger_type,entry_criteria_summary,decision_count,action_call_count,record_create_count,record_update_count,record_delete_count,record_lookup_count,external_candidate_touchpoint_count
1,FFX_SM_Product_Product_Group_PB,441,Workflow,2,Product2,onAllChanges,myVariable_current.IsActive EqualTo True; myVariable_current.c2g__CODAPurchaseAnalysisAccount__c IsNull False; myVariable_current.ION_Is_Stock_Item__c EqualTo True; myVariable_current.link_OPIProdGrp_Id__r.Id IsNull True,6,4,0,2,0,0,4
2,Vantage_Invoices,334,AutoLaunchedFlow,4,,,Get_Vantage_Invoices IsNull False,1,3,2,0,1,2,3
3,Compliance_Approval_Flow,294,AutoLaunchedFlow,19,Opportunity,,orderCreationInput EqualTo Create,5,5,3,3,0,6,2
4,Reject_Opp,284,AutoLaunchedFlow,2,Opportunity,,decision EqualTo Reject,2,5,2,0,0,3,2
5,SM_Account_Supplier_Site_PB,236,AutoLaunchedFlow,4,Account,RecordAfterSave,formula_TRUE_myRule_1 EqualTo True,5,2,0,4,0,0,2
6,Demo_Run_Decision_Action,221,Flow,2,,,Loop_over_trees.treeId EqualTo Default_decision_tree,0,0,0,0,0,0,2
7,All_Companies_House_Check,221,Flow,3,,,AccountName NotEqualTo; BillingCity NotEqualTo; BillingCountry NotEqualTo; BillingPostalCode NotEqualTo,3,2,0,2,0,2,2
8,Technical_Evaluation,161,Flow,11,Opportunity,,decision EqualTo Approve,18,2,4,3,0,5,1
9,ION_CreateSalesOrder_PB,151,Workflow,1,Opportunity,onAllChanges,myVariable_old IsNull False; myVariable_old.IWM_Sales_Order_Type__c NotEqualTo myVariable_current.IWM_Sales_Order_Type__c,3,2,0,0,0,0,1
10,Opportunity_Compliance_Calculation,147,AutoLaunchedFlow,5,Opportunity,RecordAfterSave,(and) Approval_Status__c EqualTo Approved,0,1,0,1,0,2,1
11,Call_Foundations_Billing_PB,144,Workflow,1,SCMC__Invoicing__c,onAllChanges,myVariable_old IsNull False; myVariable_old.ION_Bill_To_FFA__c NotEqualTo myVariable_current.ION_Bill_To_FFA__c,2,1,0,0,0,0,1
12,ION_CreateSalesOrder_PB_2,141,AutoLaunchedFlow,5,Opportunity,RecordAfterSave,(and) StageName EqualTo Closed Won; IWM_Sales_Order_Req__c EqualTo true; link_Opp2SO_State__c NotEqualTo Ok,2,1,0,1,0,1,1
13,Agilyx_Purchase_Order_Trigger_to_Release_Payable_Invoice,137,AutoLaunchedFlow,1,SCMC__Purchase_Order__c,RecordAfterSave,(and) SCMC__Status__c EqualTo Closed,2,1,0,1,0,1,1
14,Create_Commission_Opp_Split,127,AutoLaunchedFlow,6,OpportunitySplit,RecordAfterSave,$Record.Opportunity.CloseDate LessThanOrEqualTo 2023-02-28; $Record.SplitOwner.LastName EqualTo Sangster,2,1,0,0,0,2,1
15,Parent_MACD_Add,124,Flow,6,,,Add_Accessories EqualTo Yes,8,1,7,0,0,8,1
16,FFXSCM_Process_Invoice_Lines,114,AutoLaunchedFlow,4,SCMC__Invoice_Line_Item__c,,varFirst EqualTo True,2,1,1,1,0,2,1
17,Agilyx_Payable_Invoice_on_Hold_Release,114,AutoLaunchedFlow,1,c2g__codaPurchaseInvoice__c,RecordAfterSave,(and) SCMFFA__AP_Voucher__c IsNull false; c2g__InvoiceStatus__c EqualTo Complete; Agx_Partial_PO_with_Full_Invoice__c EqualTo true,1,1,0,0,0,0,1
18,UpdateCompanyTaxInformation,111,Workflow,1,fferpcore__CompanyTaxInformation__c,onCreateOnly,formula_myRule_1 EqualTo True,1,1,0,0,0,0,1
19,Tax_Rate_Synchronisation,111,Workflow,1,c2g__codaTaxRate__c,onAllChanges,formula_myRule_1 EqualTo True,1,1,0,0,0,0,1
20,Tax_Code,111,Workflow,1,c2g__codaTaxCode__c,onAllChanges,formula_myRule_1 EqualTo True,1,1,0,0,0,0,1
21,Analysis_Synchronisation_Dimension_4,111,Workflow,1,c2g__codaDimension4__c,onAllChanges,formula_myRule_1 EqualTo True,1,1,0,0,0,0,1
22,Analysis_Synchronisation_Dimension_3,111,Workflow,1,c2g__codaDimension3__c,onAllChanges,formula_myRule_1 EqualTo True,1,1,0,0,0,0,1
23,Analysis_Synchronisation_Dimension_2,111,Workflow,1,c2g__codaDimension2__c,onAllChanges,formula_myRule_1 EqualTo True,1,1,0,0,0,0,1
24,Analysis_Synchronisation_Dimension_1,111,Workflow,1,c2g__codaDimension1__c,onAllChanges,formula_myRule_1 EqualTo True,1,1,0,0,0,0,1
25,Discard_Documents,110,Flow,1,,,,0,1,0,0,0,0,1
26,Opportunity_Add_Asset_v3,107,Flow,15,SCMC__Sales_Order__c,,What_action_would_you_like_to_perform EqualTo Update_product_details; Copy_1_of_What_action_would_you_like_to_perform EqualTo Update_product_details; Copy_1_of_Update_Product_Action_Screen WasVisited False; What_action_would_you_like_to_perform EqualTo Chan...,25,0,6,2,1,19,0
27,Opportunity_Add_Asset_v2,107,Flow,50,SCMC__Sales_Order__c,,What_action_would_you_like_to_perform EqualTo Update_product_details; Copy_1_of_What_action_would_you_like_to_perform EqualTo Update_product_details; Copy_1_of_Update_Product_Action_Screen WasVisited False; What_action_would_you_like_to_perform EqualTo Chan...,24,0,6,2,1,19,0
28,NEW_FUN_MACD_FLOW,104,Flow,1,SCMC__Sales_Order__c,,What_action_would_you_like_to_perform EqualTo Update_product_details; Copy_1_of_What_action_would_you_like_to_perform EqualTo Update_product_details; Update_Product_Action_Screen WasVisited False; What_action_would_you_like_to_perform EqualTo Change_Product...,25,0,6,2,1,19,0
29,Sales_Order_MACD_Update,87,Flow,21,,,Move_Dispose_or_Add EqualTo Move; Move_Dispose_or_Add EqualTo Dispose,11,0,0,3,0,8,0
30,Compliance_Approval_Process_Submitted,84,AutoLaunchedFlow,30,Opportunity,RecordAfterSave,(and) StageName EqualTo Compliance Approval; Approval_Status__c NotEqualTo Approved,4,4,0,1,0,2,0
31,New_Sales_Order_Creation,54,Workflow,5,SCMC__Sales_Order__c,onCreateOnly,myVariable_old IsNull False; myVariable_old.SCMC__Status__c NotEqualTo myVariable_current.SCMC__Status__c,2,2,0,0,0,0,0
32,Opportunity_MACD_Auto_Compliance_Approval,53,AutoLaunchedFlow,4,Opportunity,RecordAfterSave,(and) StageName IsChanged true; StageName EqualTo Compliance Approval; Approval_Status__c EqualTo Under Review,1,0,0,0,0,0,0
33,Opportunity_Asset_MACD_Generator3,50,Flow,42,OpportunityLineItem,,ChildAssetMultiple IsNull False,16,0,7,5,2,7,0
34,Update_Commission_Opportunity,50,AutoLaunchedFlow,5,Opportunity,RecordAfterSave,(or) AccountId IsChanged true; Funding_Type__c IsChanged true; Type IsChanged true,1,0,0,1,0,2,0
35,Opportunity_Submit_Products_for_Approval,50,AutoLaunchedFlow,2,Opportunity,,productArray Contains Loop_Initial_Products.Product2Id,2,1,0,0,0,1,0
36,ION_Update_Sales_Order_Line_PB,44,Workflow,1,SCMC__Sales_Order_Line_Item__c,onAllChanges,myVariable_current.SCMC__Item_Master__r.ION_Outbound_Serial_No__c EqualTo True,1,1,0,0,0,0,0
37,FFXSCM_Process_Voided_Invoice,44,Workflow,2,SCMC__Invoicing__c,onAllChanges,myVariable_current.SCMC__Status__c EqualTo Voided,2,1,0,0,0,0,0
38,Submit_deal_for_approval,43,AutoLaunchedFlow,1,Opportunity,,,0,1,0,0,0,0,0
39,FFXSCM_Process_Invoice_Line_Items,43,AutoLaunchedFlow,2,SCMC__Invoicing__c,,,0,0,0,0,0,1,0
40,Overdue_Transactions,41,Flow,6,,,Action_To_Perform Contains Create_Followup_Task; Action_To_Perform Contains Log_Call; Action_To_Perform Contains Log_Call; Action_To_Perform Contains Create_Followup_Task,1,4,0,0,0,2,0
41,Display_Contacts,41,Flow,27,,,Contact_Id IsNull False; Contact_Id IsNull True,7,4,6,2,0,3,0
42,ION_Update_Corp_Currency_value_of_PO_PB,41,Workflow,1,SCMC__Purchase_Order__c,onAllChanges,myVariable_current.SCMC__Ship_To_Warehouse__c IsNull False,2,2,0,0,0,0,0
