"source_object","target_object","relationship_field_count","fields"
"c2g__codaCompany__c","Account","1","c2g__IntercompanyAccount__c"
"c2g__codaCompany__c","c2g__codaGeneralLedgerAccount__c","9","c2g__AuxiliaryGLA__c;c2g__CustomerCurrencyWriteOff__c;c2g__CustomerCurrencyWriteOffLoss__c;c2g__CustomerSettlementDiscount__c;c2g__CustomerWriteOff__c;c2g__RetainedEarningsGLA__c;c2g__SuspenseGLA__c;c2g__UnrealizedGainsLossesGLA__c;c2g__UnrealizedLossesGLA__c"
"c2g__codaCreditNote__c","Account","1","c2g__Account__c"
"c2g__codaCreditNote__c","c2g__codaCompany__c","1","c2g__OwnerCompany__c"
"c2g__codaCreditNote__c","c2g__codaIntercompanyTransfer__c","1","c2g__IntercompanyTransfer__c"
"c2g__codaCreditNote__c","c2g__codaInvoice__c","1","c2g__Invoice__c"
"c2g__codaCreditNote__c","c2g__codaTransaction__c","1","c2g__Transaction__c"
"c2g__codaCreditNote__c","Opportunity","1","c2g__Opportunity__c"
"c2g__codaCreditNote__c","SCMC__Invoicing__c","1","SCMFFA__SCM_Invoice__c"
"c2g__codaIntercompanyTransfer__c","Account","1","c2g__SourceDocumentVendorAccount__c"
"c2g__codaIntercompanyTransfer__c","c2g__codaCompany__c","2","c2g__DestinationCompany__c;c2g__SourceCompany__c"
"c2g__codaIntercompanyTransfer__c","c2g__codaCreditNote__c","1","c2g__SourceSalesCreditNote__c"
"c2g__codaIntercompanyTransfer__c","c2g__codaInvoice__c","1","c2g__SourceSalesInvoice__c"
"c2g__codaIntercompanyTransferLineItem__c","Account","2","c2g__Account__c;c2g__AccountAnalysis__c"
"c2g__codaIntercompanyTransferLineItem__c","c2g__codaGeneralLedgerAccount__c","2","c2g__GeneralLedgerAccount__c;c2g__LocalGLA__c"
"c2g__codaIntercompanyTransferLineItem__c","c2g__codaIntercompanyTransfer__c","1","c2g__IntercompanyTransfer__c"
"c2g__codaInvoice__c","Account","2","c2g__Account__c;Customer_Account__c"
