"source_object","target_object","relationship_field_count","fields"
"Commission_Payment__c","Account","1","Account__c"
"Commission_Payment__c","c2g__codaInvoice__c","1","Sales_Invoice__c"
"Commission_Payment__c","Opportunity","1","Opportunity__c"
"Commission_Payment__c","SCMC__Invoicing__c","1","OPI_Invoice__c"
"Commission_Payment__c","SCMC__Sales_Order__c","1","SalesOrder__c"
"Commission_Payment__c","SCMC__Sales_Order_Line_Item__c","1","SalesOrderLineItem__c"
"Opportunity_Approval__c","Opportunity","1","Opportunity__c"
"Opportunity_Snapshot__c","Account","1","Account_ID__c"
"Opportunity_Snapshot__c","Opportunity","1","Opportunity_ID__c"
"SCMC__Customer_Quotation__c","Account","2","SCMC__Customer_Account__c;SCMC__Override_Bill_to_Account__c"
"SCMC__Customer_Quotation__c","Contact","1","SCMC__Customer_Account_Contact__c"
"SCMC__Customer_Quotation__c","Opportunity","1","SCMC__Opportunity__c"
"SCMC__Customer_Quotation__c","SCMC__Sales_Order__c","1","SCMC__Sales_Order__c"
"SCMC__Customer_Quotation__c","SCMC__Service_Order__c","1","SCMC__Service_Order__c"
"SCMC__Customer_Quotation_Line__c","SCMC__Customer_Quotation__c","1","SCMC__Customer_Quotation__c"
"SCMC__Invoicing__c","Account","2","SCMC__Billing_Account__c;SCMC__Customer__c"
"SCMC__Invoicing__c","c2g__codaCompany__c","1","SCMFFA__Accounting_Company__c"
"SCMC__Invoicing__c","c2g__codaCreditNote__c","1","SCMFFA__Credit_Note__c"
"SCMC__Invoicing__c","c2g__codaInvoice__c","2","link_CreateSIN_Id__c;SCMFFA__Sales_Invoice__c"
"SCMC__Invoicing__c","SCMC__Sales_Order__c","1","SCMC__Sales_Order__c"
"SCMC__Invoicing__c","SCMC__Service_Order__c","1","SCMC__Service_Contract__c"
"SCMC__Purchase_Order__c","Account","1","SCMC__Procured_for__c"
"SCMC__Purchase_Order__c","c2g__codaCompany__c","1","SCMFFA__Company__c"
"SCMC__Purchase_Order__c","Contact","1","Deliver_To__c"
"SCMC__Purchase_Order__c","SCMC__Sales_Order__c","1","SCMC__Sales_Order__c"
"SCMC__Purchase_Order__c","SCMC__Service_Order__c","1","SCMC__Service_Contract__c"
"SCMC__Purchase_Order_Line_Item__c","SCMC__Purchase_Order__c","1","SCMC__Purchase_Order__c"
"SCMC__Purchase_Order_Line_Item__c","SCMC__Sales_Order_Line_Item__c","1","SCMC__Sales_Order_Line_Item__c"
"SCMC__Receipt__c","SCMC__Purchase_Order__c","1","SCMC__Purchase_Order__c"
"SCMC__Receipt_Line__c","SCMC__Purchase_Order_Line_Item__c","1","SCMC__Purchase_Order_Line_Item__c"
"SCMC__Receipt_Line__c","SCMC__Receipt__c","1","SCMC__Receiver__c"
"SCMC__Sales_Order__c","Account","3","Account__c;SCMC__Customer_Account__c;SCMC__Override_Billing_Account__c"
"SCMC__Sales_Order__c","c2g__codaCompany__c","1","SCMFFA__Company__c"
"SCMC__Sales_Order__c","Contact","3","Invoice_To__c;Meter_Contact__c;Recipient__c"
"SCMC__Sales_Order__c","Opportunity","1","link_Opp2SO_Id__c"
"SCMC__Sales_Order__c","SCMC__Customer_Quotation__c","1","SCMC__Customer_Quotation__c"
"SCMC__Sales_Order_Line_Item__c","Contact","1","Recipient__c"
"SCMC__Sales_Order_Line_Item__c","SCMC__Customer_Quotation_Line__c","1","SCMC__Customer_Quotation_Line__c"
"SCMC__Sales_Order_Line_Item__c","SCMC__Purchase_Order_Line_Item__c","1","SCMC__Purchase_Order_Line_Item__c"
"SCMC__Sales_Order_Line_Item__c","SCMC__Sales_Order__c","1","SCMC__Sales_Order__c"
"SCMC__Service_Order__c","Account","3","SCMC__Customer_Account_Sold_To__c;SCMC__Original_Override_Bill_To_Account__c;SCMC__Override_Bill_To_Account__c"
"SCMC__Service_Order__c","c2g__codaCompany__c","1","SCMFFA__Company__c"
"SCMC__Service_Order__c","SCMC__Customer_Quotation__c","2","SCMC__Current_Customer_Quotation__c;SCMC__Original_Customer_Quotation__c"
"SCMC__Service_Order__c","SCMC__Sales_Order__c","1","SCMC__Sales_Order__c"
