"source_object","target_object","relationship_field_count","fields"
"APXT_BPM__Conductor__c","Group","1","OwnerId"
"APXT_BPM__Conductor__c","Record Visibility","1","RecordVisibilityId"
"APXT_BPM__Conductor__c","User","3","CreatedById;LastModifiedById;OwnerId"
"APXT_BPM__Conductor__c","UserRecordAccess","1","UserRecordAccessId"
"APXT_BPM__Conductor_Setting__mdt","APXT_BPM__Conductor_Region__mdt","1","APXT_BPM__Conductor_Region__c"
"APXT_BPM__Scheduled_Conductor_History__c","APXT_BPM__Conductor__c","1","APXT_BPM__Conga_Conductor__c"
"APXT_BPM__Scheduled_Conductor_History__c","Group","1","OwnerId"
"APXT_BPM__Scheduled_Conductor_History__c","Record Visibility","1","RecordVisibilityId"
"APXT_BPM__Scheduled_Conductor_History__c","User","4","APXT_BPM__Ran_as__c;CreatedById;LastModifiedById;OwnerId"
"APXT_BPM__Scheduled_Conductor_History__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__Composer_Host_Override__c","Group","1","OwnerId"
"APXTConga4__Composer_Host_Override__c","Record Visibility","1","RecordVisibilityId"
"APXTConga4__Composer_Host_Override__c","User","3","CreatedById;LastModifiedById;OwnerId"
"APXTConga4__Composer_Host_Override__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__Composer_QuickMerge__c","APXTConga4__Conga_Solution__c","1","APXTConga4__Conga_Solution__c"
"APXTConga4__Composer_QuickMerge__c","Group","1","OwnerId"
"APXTConga4__Composer_QuickMerge__c","Record Visibility","1","RecordVisibilityId"
"APXTConga4__Composer_QuickMerge__c","User","3","CreatedById;LastModifiedById;OwnerId"
"APXTConga4__Composer_QuickMerge__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__Composer_Setting__mdt","APXTConga4__Connected_App_Setting__mdt","1","APXTConga4__Connected_App_Setting__c"
"APXTConga4__Conga_Collection__c","Group","1","OwnerId"
"APXTConga4__Conga_Collection__c","Record Visibility","1","RecordVisibilityId"
"APXTConga4__Conga_Collection__c","User","3","CreatedById;LastModifiedById;OwnerId"
"APXTConga4__Conga_Collection__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__Conga_Collection_Solution__c","APXTConga4__Conga_Collection__c","1","APXTConga4__Conga_Collection__c"
