"source_object","field_api_name","relationship_name","relationship_type","target_object","target_resolution","raw_data_type"
"APXT_BPM__Conductor__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXT_BPM__Conductor__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXT_BPM__Conductor__c","OwnerId","Owner","Lookup","Group","ReferenceTo","Lookup(User,Group)"
"APXT_BPM__Conductor__c","OwnerId","Owner","Lookup","User","ReferenceTo","Lookup(User,Group)"
"APXT_BPM__Conductor__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXT_BPM__Conductor__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXT_BPM__Conductor_Setting__mdt","APXT_BPM__Conductor_Region__c","APXT_BPM__Conductor_Region__r","Lookup","APXT_BPM__Conductor_Region__mdt","ReferenceTo","Lookup(Conga Batch Region)"
"APXT_BPM__Scheduled_Conductor_History__c","APXT_BPM__Conga_Conductor__c","APXT_BPM__Conga_Conductor__r","Lookup","APXT_BPM__Conductor__c","ReferenceTo","Lookup(Conga Batch)"
"APXT_BPM__Scheduled_Conductor_History__c","APXT_BPM__Ran_as__c","APXT_BPM__Ran_as__r","Lookup","User","ReferenceTo","Lookup(User)"
"APXT_BPM__Scheduled_Conductor_History__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXT_BPM__Scheduled_Conductor_History__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXT_BPM__Scheduled_Conductor_History__c","OwnerId","Owner","Lookup","Group","ReferenceTo","Lookup(User,Group)"
"APXT_BPM__Scheduled_Conductor_History__c","OwnerId","Owner","Lookup","User","ReferenceTo","Lookup(User,Group)"
"APXT_BPM__Scheduled_Conductor_History__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXT_BPM__Scheduled_Conductor_History__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXTConga4__Composer_Host_Override__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Composer_Host_Override__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Composer_Host_Override__c","OwnerId","Owner","Lookup","Group","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Composer_Host_Override__c","OwnerId","Owner","Lookup","User","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Composer_Host_Override__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXTConga4__Composer_Host_Override__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXTConga4__Composer_QuickMerge__c","APXTConga4__Conga_Solution__c","APXTConga4__Conga_Solution__r","Lookup","APXTConga4__Conga_Solution__c","ReferenceTo","Lookup(Conga Solution)"
"APXTConga4__Composer_QuickMerge__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Composer_QuickMerge__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Composer_QuickMerge__c","OwnerId","Owner","Lookup","Group","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Composer_QuickMerge__c","OwnerId","Owner","Lookup","User","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Composer_QuickMerge__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXTConga4__Composer_QuickMerge__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXTConga4__Composer_Setting__mdt","APXTConga4__Connected_App_Setting__c","APXTConga4__Connected_App_Setting__r","Lookup","APXTConga4__Connected_App_Setting__mdt","ReferenceTo","Lookup(Connected App Setting)"
"APXTConga4__Conga_Collection__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Collection__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Collection__c","OwnerId","Owner","Lookup","Group","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Conga_Collection__c","OwnerId","Owner","Lookup","User","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Conga_Collection__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXTConga4__Conga_Collection__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
