"api_name","category"
"AbnExperiment","standard"
"AbnExperimentCohort","standard"
"AbnExperimentCohortAttrVal","standard"
"AbnExperimentEngmtSgnlMtrc","standard"
"AcceptedEventRelation","standard"
"Account","standard"
"AccountChangeEvent","standard"
"AccountContactRelation","standard"
"AccountContactRelationChangeEvent","standard"
"AccountContactRole","standard"
"AccountContactRoleChangeEvent","standard"
"AccountFeed","standard"
"AccountHistory","standard"
"AccountPartner","standard"
"AccountShare","standard"
"AccountTeamMember","standard"
"AccountTeamMemberChangeEvent","standard"
"ActionLinkGroupTemplate","standard"
"ActionLinkTemplate","standard"
"ActionPlan","standard"
"ActionPlanChangeEvent","standard"
"ActionPlanFeed","standard"
"ActionPlanItem","standard"
"ActionPlanItemChangeEvent","standard"
"ActionPlanItemDependency","standard"
"ActionPlanShare","standard"
"ActionPlanTemplate","standard"
"ActionPlanTemplateChangeEvent","standard"
"ActionPlanTemplateItem","standard"
"ActionPlanTemplateItemChangeEvent","standard"
"ActionPlanTemplateItemValue","standard"
"ActionPlanTemplateItemValueChangeEvent","standard"
"ActionPlanTemplateShare","standard"
"ActionPlanTemplateVersion","standard"
"ActionPlanTemplateVersionChangeEvent","standard"
"ActionPlanTmplPkgConfig","standard"
"ActionPlnTmplItmDependency","standard"
"ActivationTarget","standard"
"ActivationTargetFeed","standard"
"ActivationTargetHistory","standard"
"ActivationTargetPlatform","standard"
"ActivationTargetPlatformHistory","standard"
"ActivationTargetPlatformShare","standard"
"ActivationTargetSecureFTP","standard"
"ActivationTargetShare","standard"
"ActivationTrgtIntOrgAccess","standard"
"ActivationTrgtIntOrgAccessFeed","standard"
"ActivationTrgtIntOrgAccessHistory","standard"
"ActivationTrgtIntOrgAccessShare","standard"
"ActiveFeatureLicenseMetric","standard"
"ActivePermSetLicenseMetric","standard"
"ActiveProfileMetric","standard"
"ActivityFieldHistory","standard"
"ActivityHistory","standard"
"ActorReactiveAskRespEvent","standard"
"ActvTgtPlatformFieldValue","standard"
"ActvTgtPlatformFieldValueHistory","standard"
"ActvTgtPlatformFieldValueShare","standard"
"AdditionalNumber","standard"
"AggregateResult","standard"
"AIApplication","standard"
"AIApplicationConfig","standard"
"AIInsightAction","standard"
"AIInsightFeedback","standard"
"AIInsightReason","standard"
"AIInsightValue","standard"
"AiJobRun","standard"
"AiJobRunShare","standard"
"AIPredictionEvent","standard"
"AIRecordInsight","standard"
"AITrustAttribute","standard"
"AITrustAttrSetup","standard"
"AlternativePaymentMethod","standard"
"AlternativePaymentMethodShare","standard"
"AnalyticRecipeCompleteEvent","standard"
"AnalyticsAssetAction","standard"
"AnalyticsButtonWidgetDef","standard"
"AnalyticsContainerWidgetDef","standard"
"AnalyticsDashboard","standard"
"AnalyticsDashboardLayout","standard"
"AnalyticsDashboardPage","standard"
"AnalyticsDashboardViewDef","standard"
"AnalyticsDashboardViewSpec","standard"
"AnalyticsDashboardWidget","standard"
"AnalyticsDashPageWidget","standard"
"AnalyticsFilterWidgetDef","standard"
"AnalyticsLicensedAsset","standard"
"AnalyticsMetricWidgetDef","standard"
"AnalyticsParamWidgetDef","standard"
"AnalyticsTaskStatusEvent","standard"
"AnalyticsTextWidgetDef","standard"
"AnalyticsUserAttrFuncTkn","standard"
"AnalyticsUserAttrFuncTknShare","standard"
"AnalyticsVisualization","standard"
"AnalyticsVizField","standard"
"AnalyticsVizViewDef","standard"
"AnalyticsVizWidgetDef","standard"
"AnalyticsWorkspace","standard"
"AnalyticsWorkspaceAsset","standard"
"AnlytDataAssetEventStore","standard"
"AnlytDataAssetUsageEvent","standard"
"Announcement","standard"
"ApexClass","standard"
"ApexComponent","standard"
"ApexEmailNotification","standard"
"ApexLog","standard"
"ApexPage","standard"
"ApexPageInfo","standard"
"ApexTestQueueItem","standard"
"ApexTestResult","standard"
"ApexTestResultLimits","standard"
"ApexTestRunResult","standard"
"ApexTestSuite","standard"
"ApexTrigger","standard"
"ApexTypeImplementor","standard"
"ApiPrtcPolicyChangeEvent","standard"
"AppAnalyticsQueryRequest","standard"
"AppDefinition","standard"
"AppMenuItem","standard"
"Approval","standard"
"ApprovalSubmission","standard"
"ApprovalSubmissionDetail","standard"
"ApprovalSubmissionDetailFeed","standard"
"ApprovalSubmissionDetailHistory","standard"
"ApprovalSubmissionFeed","standard"
"ApprovalSubmissionHistory","standard"
"ApprovalSubmissionShare","standard"
"ApprovalWorkItem","standard"
"ApprovalWorkItemFeed","standard"
"ApprovalWorkItemHistory","standard"
"AppTabMember","standard"
"AppUsageAssignment","standard"
"APXT_BPM__Conductor__c","custom"
"APXT_BPM__Conductor__ChangeEvent","standard"
"APXT_BPM__Conductor__Share","standard"
"APXT_BPM__Conductor_Region__mdt","custom"
"APXT_BPM__Conductor_Setting__mdt","custom"
"APXT_BPM__Scheduled_Conductor_History__c","custom"
"APXT_BPM__Scheduled_Conductor_History__ChangeEvent","standard"
"APXT_BPM__Scheduled_Conductor_History__Share","standard"
"APXTConga4__Composer_Host_Override__c","custom"
"APXTConga4__Composer_Host_Override__ChangeEvent","standard"
"APXTConga4__Composer_Host_Override__Share","standard"
"APXTConga4__Composer_QuickMerge__c","custom"
"APXTConga4__Composer_QuickMerge__ChangeEvent","standard"
"APXTConga4__Composer_QuickMerge__Share","standard"
"APXTConga4__Composer_Setting__mdt","custom"
"APXTConga4__Conga_Collection__c","custom"
"APXTConga4__Conga_Collection__ChangeEvent","standard"
"APXTConga4__Conga_Collection__Share","standard"
"APXTConga4__Conga_Collection_Solution__c","custom"
"APXTConga4__Conga_Collection_Solution__ChangeEvent","standard"
"APXTConga4__Conga_Composer_Settings__c","custom"
"APXTConga4__Conga_Composer_Settings__ChangeEvent","standard"
"APXTConga4__Conga_Email_Staging__c","custom"
"APXTConga4__Conga_Email_Staging__ChangeEvent","standard"
"APXTConga4__Conga_Email_Staging__Share","standard"
"APXTConga4__Conga_Email_Template__c","custom"
"APXTConga4__Conga_Email_Template__ChangeEvent","standard"
"APXTConga4__Conga_Email_Template__Share","standard"
"APXTConga4__Conga_Merge_Query__c","custom"
"APXTConga4__Conga_Merge_Query__ChangeEvent","standard"
"APXTConga4__Conga_Merge_Query__Share","standard"
"APXTConga4__Conga_Solution__c","custom"
"APXTConga4__Conga_Solution__ChangeEvent","standard"
